,datetime,epoch_time,value,compensation
87,2024-08-05 02:00:00,1722823200000,191561.99645,0.0
88,2024-08-05 03:00:00,1722826800000,191578.00295000002,0.0
89,2024-08-05 04:00:00,1722830400000,191600.0061,0.0
90,2024-08-05 05:00:00,1722834000000,191623.50465,0.0
91,2024-08-05 06:00:00,1722837600000,191646.49965,0.0
92,2024-08-05 07:00:00,1722841200000,191671.49355,0.0
93,2024-08-05 08:00:00,1722844800000,191695.99915000002,0.0
94,2024-08-05 09:00:00,1722848400000,191725.0061,0.0
95,2024-08-05 10:00:00,1722852000000,191757.0038,0.0
96,2024-08-05 11:00:00,1722855600000,191788.49790000002,0.0
97,2024-08-05 12:00:00,1722859200000,191818.4967,0.0
98,2024-08-05 13:00:00,1722862800000,191847.50365,0.0
99,2024-08-05 14:00:00,1722866400000,191876.00710000002,0.0
100,2024-08-05 15:00:00,1722870000000,191902.9999,0.0
101,2024-08-05 16:00:00,1722873600000,191930.99975000002,0.0
102,2024-08-05 17:00:00,1722877200000,191956.4972,0.0
103,2024-08-05 18:00:00,1722880800000,191966.99525,0.0
104,2024-08-06 08:00:00,1722931200000,192241.50084999998,0.0
105,2024-08-06 09:00:00,1722934800000,192272.5067,0.0
106,2024-08-06 10:00:00,1722938400000,192304.00084999998,0.0
107,2024-08-06 11:00:00,1722942000000,192333.4961,0.0
108,2024-08-06 12:00:00,1722945600000,192363.49485,0.0
109,2024-08-06 13:00:00,1722949200000,192391.9983,0.0
110,2024-08-06 14:00:00,1722952800000,192419.00634999998,0.0
111,2024-08-06 15:00:00,1722956400000,192445.0073,0.0
112,2024-08-06 16:00:00,1722960000000,192470.99305,0.0
113,2024-08-06 17:00:00,1722963600000,192491.50084999998,0.0
114,2024-08-06 18:00:00,1722967200000,192507.9956,0.0
115,2024-08-06 19:00:00,1722970800000,192522.995,0.0
116,2024-08-06 20:00:00,1722974400000,192537.00255,0.0
117,2024-08-06 21:00:00,1722978000000,192550.99485,0.0
118,2024-08-06 22:00:00,1722981600000,192564.49889999998,0.0
119,2024-08-06 23:00:00,1722985200000,192578.50645,0.0
120,2024-08-07 00:00:00,1722988800000,192592.4988,0.0
121,2024-08-07 01:00:00,1722992400000,192606.50634999998,0.0
122,2024-08-07 02:00:00,1722996000000,192621.0022,0.0
123,2024-08-07 03:00:00,1722999600000,192634.50624999998,0.0
124,2024-08-07 04:00:00,1723003200000,192649.5056,0.0
125,2024-08-07 05:00:00,1723006800000,192665.49685000003,0.0
126,2024-08-07 06:00:00,1723010400000,192680.4962,0.0
127,2024-08-07 07:00:00,1723014000000,192698.5016,0.0
128,2024-08-07 08:00:00,1723017600000,192718.50585000002,0.0
129,2024-08-07 09:00:00,1723021200000,192737.50305,0.0
130,2024-08-07 10:00:00,1723024800000,192755.9967,0.0
131,2024-08-07 11:00:00,1723028400000,192774.00209999998,0.0
132,2024-08-07 12:00:00,1723032000000,192792.99925000002,0.0
133,2024-08-07 13:00:00,1723035600000,192811.99645,0.0
134,2024-08-07 14:00:00,1723039200000,192831.4972,0.0
135,2024-08-07 15:00:00,1723042800000,192852.005,0.0
136,2024-08-07 16:00:00,1723046400000,192870.49865,0.0
137,2024-08-07 17:00:00,1723050000000,192885.49805,0.0
138,2024-08-07 18:00:00,1723053600000,192899.9939,0.0
139,2024-08-07 19:00:00,1723057200000,192914.505,0.0
140,2024-08-07 20:00:00,1723060800000,192927.99375000002,0.0
141,2024-08-07 21:00:00,1723064400000,192942.5049,0.0
142,2024-08-07 22:00:00,1723068000000,192956.4972,0.0
143,2024-08-07 23:00:00,1723071600000,192970.50475,0.0
144,2024-08-08 00:00:00,1723075200000,192984.49704999998,0.0
145,2024-08-08 01:00:00,1723078800000,192999.49645,0.0
